dataset,n_train,model,steps,failed,err_max,err_p95,eps,PASS
OMNI,15,ESN,50000,False,2.683876455781913,2.1093902788067758,0.34484471865067434,False
OMNI,15,NVAR,21,True,1734.7680687563163,523.6609910270029,0.34484471865067434,False
OMNI,15,SINDy,384,True,1078.7629365625712,2.2679938558637813,0.34484471865067434,False
OMNI,15,EDMD,829,True,7324.799936799977,80.0981512324271,0.34484471865067434,False
OMNI,15,LinearStateMap,50000,False,269.0825741556687,157.37371455818058,0.34484471865067434,False
OMNI,15,MLP,50000,False,2.6891956699980524,2.1063138721399777,0.34484471865067434,False
OMNI,50,pCHA,50000,False,0.0019262196014634635,0.0004409238536305989,0.34484471865067434,True
OMNI,50,Persistence,50000,False,0.015617203818743928,0.005912372811258051,0.34484471865067434,True
OMNI,50,ESN,50000,False,2.690446748108178,2.089306535708752,0.34484471865067434,False
OMNI,50,NVAR,68,True,45693.256773971894,4.371651352360368,0.34484471865067434,False
OMNI,50,SINDy,1059,True,46874.53322063592,35.73412183428636,0.34484471865067434,False
OMNI,50,EDMD,2394,True,23438.557412993738,791.338965796638,0.34484471865067434,False
OMNI,50,LinearStateMap,50000,False,7.176088065652581,4.05135576153239,0.34484471865067434,False
OMNI,50,MLP,50000,False,2.7315277321116076,2.0722177282557452,0.34484471865067434,False
OMNI,100,pCHA,50000,False,0.0019262196014633544,0.00044092385363060204,0.34484471865067434,True
OMNI,100,Persistence,50000,False,0.014213464046189023,0.005866503039248564,0.34484471865067434,True
OMNI,100,ESN,50000,False,2.683532548059546,2.0106291714931976,0.34484471865067434,False
OMNI,100,NVAR,157,True,1693.0048398192137,0.6923181927561901,0.34484471865067434,False
OMNI,100,SINDy,2729,True,89052.90231859479,8.76114664635504,0.34484471865067434,False
OMNI,100,EDMD,2494,True,47916.301036132165,29.591491457880526,0.34484471865067434,False
OMNI,100,LinearStateMap,50000,False,3.2392989131650296,1.2000635593545486,0.34484471865067434,False
OMNI,100,MLP,50000,False,2.7891712435318055,2.0190270914954453,0.34484471865067434,False
OMNI,200,pCHA,50000,False,0.00192621960146331,0.0004409238536305989,0.34484471865067434,True
OMNI,200,Persistence,50000,False,0.011634959984823822,0.0057950022830052204,0.34484471865067434,True
OMNI,200,ESN,50000,False,2.733259895339415,1.9605915847328708,0.34484471865067434,False
OMNI,200,NVAR,479,True,11122.335209289791,0.6853195256619947,0.34484471865067434,False
OMNI,200,SINDy,50000,False,11.181192595739917,2.5127964939216483,0.34484471865067434,False
OMNI,200,EDMD,17629,True,91786.5228768083,147.1107056402488,0.34484471865067434,False
OMNI,200,LinearStateMap,50000,False,10.657916317364599,4.209864645323952,0.34484471865067434,False
OMNI,200,MLP,50000,False,2.8908948947698128,1.9005231423805808,0.34484471865067434,False
AAPL,15,pCHA,50000,False,0.00015571144414039658,6.301384059277201e-05,0.0016639580657625806,True
AAPL,15,Persistence,50000,False,0.0006514232770150417,0.00030098706811313515,0.0016639580657625806,True
AAPL,15,ESN,50000,False,0.09523507413853037,0.06873445098813148,0.0016639580657625806,False
AAPL,15,NVAR,23,True,16.821437140495757,0.10151437860161235,0.0016639580657625806,False
AAPL,15,SINDy,50000,False,0.05910190681680095,0.006066555926907399,0.0016639580657625806,False
AAPL,15,EDMD,50000,False,15.647146743390572,0.10971231769422425,0.0016639580657625806,False
AAPL,15,LinearStateMap,50000,False,7.157775688525142,3.7015759871470935,0.0016639580657625806,False
AAPL,15,MLP,50000,False,0.09546543832096446,0.06878179302919157,0.0016639580657625806,False
AAPL,50,pCHA,50000,False,0.00015571144414039674,6.301384059277293e-05,0.0016639580657625806,True
AAPL,50,Persistence,50000,False,0.0006514232770150417,0.00030080056998928835,0.0016639580657625806,True
AAPL,50,ESN,50000,False,0.09556014881960301,0.06885035040856496,0.0016639580657625806,False
AAPL,50,NVAR,72,True,2.700705655735268,0.019157179500823636,0.0016639580657625806,False
AAPL,50,SINDy,50000,False,0.08662346392635524,0.005356261576934833,0.0016639580657625806,False
AAPL,50,EDMD,15054,True,375.76804666822795,0.10897430775925375,0.0016639580657625806,False
AAPL,50,LinearStateMap,50000,False,4.046387351081826,2.117021772400601,0.0016639580657625806,False
AAPL,50,MLP,50000,False,0.09437894997850355,0.06840689518952399,0.0016639580657625806,False
AAPL,100,pCHA,50000,False,0.00015571144414039658,6.301384059277169e-05,0.0016639580657625806,True
AAPL,100,Persistence,50000,False,0.0006514232770150417,0.0003007466720703407,0.0016639580657625806,True
AAPL,100,ESN,50000,False,0.0944569291372372,0.06742086297273676,0.0016639580657625806,False
AAPL,100,NVAR,177,True,22.05026087961831,0.005744723926128191,0.0016639580657625806,False
AAPL,100,SINDy,50000,False,0.045182807163523096,0.0033486766199738115,0.0016639580657625806,False
AAPL,100,EDMD,14974,True,768.4932729376436,0.11416165960246377,0.0016639580657625806,False
AAPL,100,LinearStateMap,50000,False,2.611277761329249,1.060026938724056,0.0016639580657625806,False
AAPL,100,MLP,50000,False,0.0928476177875787,0.06783501242489637,0.0016639580657625806,False
AAPL,200,pCHA,50000,False,0.00015571144414039658,6.301384059277147e-05,0.0016639580657625806,True
AAPL,200,Persistence,50000,False,0.0006514232770150417,0.0003007466720703409,0.0016639580657625806,True
AAPL,200,ESN,50000,False,0.08594286508843274,0.0630380796595541,0.0016639580657625806,False
AAPL,200,NVAR,598,True,19.960209195370307,0.00045961143863776024,0.0016639580657625806,False
AAPL,200,SINDy,50000,False,0.011084375755286499,0.0013924978612800019,0.0016639580657625806,False
AAPL,200,EDMD,50000,False,1149.7413266057504,0.11351093638483029,0.0016639580657625806,False
AAPL,200,LinearStateMap,50000,False,0.16451022452350456,0.06370132022109404,0.0016639580657625806,False
AAPL,200,MLP,50000,False,0.09002751980179634,0.06674244979987261,0.0016639580657625806,False
MSFT,15,pCHA,50000,False,0.00018060342926225133,7.644185112324188e-05,0.0015740858807871839,True
MSFT,15,Persistence,50000,False,0.0007623294155809665,0.000378267758221871,0.0015740858807871839,True
MSFT,15,ESN,50000,False,0.11226420470456575,0.08358331703635523,0.0015740858807871839,False
MSFT,15,NVAR,23,True,102.90145280575025,0.22477877625555928,0.0015740858807871839,False
MSFT,15,SINDy,50000,False,0.03094991240464322,0.004962387392639737,0.0015740858807871839,False
MSFT,15,EDMD,13619,True,155.51522833408427,0.1177666812016011,0.0015740858807871839,False
MSFT,15,LinearStateMap,50000,False,7.158552465239305,2.8957948404530893,0.0015740858807871839,False
